pair_speaker,text,from_ts,to_ts,utterance_from_ts,utterance_to_ts,original_utterance,speaker,pair
019_A,"Wacht,",680.183,680.394081081081,680.183,680.964,"Wacht, even zoeken hoor.",A,019
019_A,Ehm,682.79,684.3566831683167,682.79,684.845,Ehm slu,A,019
019_A,Kop,685.206,685.4545714285714,685.206,686.076,Kop in een bakje?,A,019
019_A,"Oh,",696.988,697.0693465346535,696.988,699.042,"Oh, dat die eh mok zeg maar uit het bakje drinkt.",A,019
019_A,Lijkt,699.762,699.9744999999999,699.762,700.272,Lijkt het wel.,A,019
019_A,En,700.595,700.6567826086957,700.595,702.016,En dan het dienblad met twee staafjes.,A,019
019_A,Dat,704.295,704.44795,704.295,704.732,Dat is *C*.,A,019
019_A,Ehm,706.717,707.8761519999999,706.717,709.259,"Ehm ja, dit is echt die hele rare.",A,019
019_A,Met,709.299,709.401641509434,709.299,710.387,Met die piramide bovenop.,A,019
019_A,En,711.341,711.5455161290323,711.341,713.243,En ehm die hele rare gewoon.,A,019
019_A,"Ja,",729.786,730.0401176470588,729.786,730.506,"Ja, en dan nog...",A,019
019_A,Dat,732.676,732.8061739130435,732.676,733.175,Dat is *N*.,A,019
019_A,Ehm,736.811,737.2410333333333,736.811,738.654,Ehm ik weet niet meer waar we die op vonden lijken.,A,019
019_A,Maar,739.079,739.3844424778761,739.079,741.38,"Maar zo'n staaf zo, voor helemaal naar beneden.",A,019
019_A,En,741.4,741.482309859155,741.4,742.861,"En dan twee armen, soort van naar achter.",A,019
019_A,En,742.901,742.9837906976744,742.901,743.791,En dan een bol bovenop.,A,019
019_A,"Ja,",762.161,762.5919038461537,762.161,763.228,"Ja, ja, duidelijk.",A,019
019_A,Dat,763.642,763.7287368421053,763.642,764.054,Dat is *B*.,A,019
019_A,Eh,765.591,765.7770967741935,765.591,766.873,Eh dit is het zwembad weer.,A,019
019_A,Met,767.124,767.2485405405406,767.124,767.892,Met die ketting.,A,019
019_A,Bakfiets,774.161,774.8842727272727,774.161,774.863,Bakfiets.,A,019
019_A,Ja,779.043,779.4526296296297,779.043,780.149,Ja even zoeken,A,019
019_A,Waar,781.691,781.8361666666667,781.691,782.562,Waar staat hij ook alweer?,A,019
019_A,"Wacht,",785.203,785.618918367347,785.203,786.222,"Wacht, even kijken hoor.",A,019
019_A,Hoe,786.994,787.1410000000001,786.994,787.75,Hoe gaat hij ook alweer?,A,019
019_A,Die,787.89,788.1868965517241,787.89,788.505,Die eh,A,019
019_A,"Ja,",802.142,802.383315614618,802.142,808.195,"Ja, dus eh zo'n vierkant achter, twee van die gebouwen en dan rechts en onder een uitsteeksel en voor een neus.",A,019
019_A,"Oké,",809.325,810.0675,809.325,810.645,"Oké, dat is *I*.",A,019
019_A,Dit,812.247,812.3104615384615,812.247,812.797,Dit is de boot.,A,019
019_A,Die,815.728,815.8912156862744,815.728,817.809,"Die eh ja, staan nu allemaal ergens anders, hè?",A,019
019_A,Hè,817.849,817.8695434782609,817.849,818.794,Hè is weer echt even,A,019
019_A,"Piercing,",826.714,827.3116521739131,826.714,828.136,"Piercing, piercing.",A,019
019_A,Even,828.926,829.3023125000001,828.926,829.595,Even zoeken...,A,019
019_A,"Ja,",830.464,830.9523333333334,830.464,831.929,"Ja, oké, *C*.",A,019
019_A,Eh,833.405,833.8602307692307,833.405,834.212,Eh dit is...,A,019
019_A,"Ja,",834.346,834.5310547945205,834.346,835.847,"Ja, die ik op een giraf vind lijken.",A,019
019_A,Zo'n,835.887,836.0762249999999,835.887,836.728,Zo'n dikke neus.,A,019
019_A,Twee,836.788,837.03456,836.788,838.329,Twee eh er bovenuit.,A,019
019_A,Eén,838.389,838.9542807017544,838.389,842.992,"Eén rechte en één gekke andere uitsteeksel, zeg maar, bovenop.",A,019
019_A,En,843.032,843.0931071428572,843.032,844.743,En dan één zo'n flapje naar links.,A,019
019_A,"Ja,",846.634,846.95275,846.634,847.229,"Ja, die eh",A,019
019_A,"Ja,",847.294,847.4847307692307,847.294,847.845,"Ja, precies, ja.",A,019
019_A,"Oh,",855.359,855.5911891891892,855.359,856.14,"Oh, die zo achter.",A,019
019_A,Even,857.858,858.0343809523808,857.858,858.321,Even zoeken.,A,019
019_A,"Ja,",858.361,858.5308285714285,858.361,859.104,"Ja, oké, ik heb hem.",A,019
019_A,L,859.614,859.9692,859.614,859.947,*L*.,A,019
019_A,Eh,861.475,861.9023125,861.475,863.754,Eh dit is eh die paddenstoel bovenop,A,019
019_A,en,863.824,863.9264999999999,863.824,865.177,en dan die twee gebouwen naar links,A,019
019_A,en,865.229,865.3727966101695,865.229,866.441,en dat schild dat vierkant.,A,019
019_A,"Ja,",873.493,873.8039756097561,873.493,874.343,"Ja, die eend.",A,019
019_A,Even,874.379,874.56659375,874.379,875.046,Even zoeken hoor,A,019
019_A,Waar,875.234,875.3194545454546,875.234,875.704,Waar staat die?,A,019
019_A,Ehm,877.171,878.3055384615385,877.171,879.278,"Ehm ja, *P*.",A,019
019_A,Dit,881.365,881.568203125,881.365,883.966,"Dit is eh diegene met dat dienblad, een beetje onder.",A,019
019_A,En,884.006,884.0872857142857,884.006,885.713,En dan die olifantenneus.,A,019
019_A,En,886.368,886.5309026548673,886.368,888.669,"En twee st- sliertjes boven, twee uitsteeksels.",A,019
019_A,En,888.709,888.8336153846153,888.709,889.519,En links nog een arm.,A,019
019_A,Die,895.267,896.6805625000001,895.267,898.498,"Die ja, oké, nummer *D*.",A,019
019_A,Ehm,900.338,901.0104528301887,900.338,902.498,Ehm dit is dienblad boven,A,019
019_A,gewoon,902.621,902.8284545454545,902.621,903.762,gewoon die andere met dat dienblad.,A,019
019_A,En,903.817,903.8794375,903.817,904.816,En dat hij uit een bakje dringt.,A,019
019_A,Dienblad,914.703,915.548625,914.703,915.528,Dienblad,A,019
019_A,Die,916.058,916.2023555555555,916.058,916.986,"Die ober, soort van.",A,019
019_A,En,917.499,917.6020645161291,917.499,918.777,En dan dat eh,A,019
019_A,"Ja,",920.12,920.3546666666666,920.12,920.76,"Ja, die uit de...",A,019
019_A,"Oké,",921.6,921.9718536585366,921.6,922.447,"Oké, nummer *G*.",A,019
019_A,Ehm,924.287,925.3933274336283,924.287,928.833,Ehm dit is eh diegene met zo'n rondje aan de achterkant.,A,019
019_A,En,930.012,930.5805333333333,930.012,932.144,En een een neus naar links.,A,019
019_A,En,932.164,932.2649146341463,932.164,935.474,"En dan één uitsteeksel, zo'n een soort van lepel, wat je zei toen eh.",A,019
019_A,En,935.905,935.9888571428571,935.905,936.492,En dan onder...,A,019
019_A,Ehm...,950.023,951.8319603174604,950.023,952.584,Ehm... Even kijken hoor.,A,019
019_A,Eh,956.026,957.4111171171171,956.026,958.287,"Eh wacht, welke was dat?",A,019
019_A,nog,958.307,958.6236666666667,958.307,958.877,(nog) doe eens.,A,019
019_A,Lange,961.128,961.3966666666668,961.128,962.12,Lange rechthoekige s,A,019
019_A,M,966.294,966.43725,966.294,967.44,M bovenop een cirkel.,A,019
019_A,"Oh,",968.931,969.2698235294118,968.931,969.651,"Oh, die ja.",A,019
019_A,Die,969.691,969.8150434782609,969.691,970.642,Die met die armen erachter.,A,019
019_A,"Oké,",972.457,972.8593529411764,972.457,973.177,"Oké, *F*.",A,019
019_A,Dit,974.778,975.0034225352113,974.778,976.233,Dit is eh die driehoek onder,A,019
019_A,onder,976.356,976.6298666666667,976.356,976.988,onder het kopje.,A,019
019_A,En,977.32,977.40304,977.32,978.358,En die staaf onder het kopje.,A,019
019_A,En,979.021,979.1036666666666,979.021,979.951,"En met die vierkantjes, ja.",A,019
019_A,De,985.725,985.7885142857143,985.725,986.466,"De boot, oké.",A,019
019_A,"Ja,",989.268,989.6699687500001,989.268,989.945,"Ja, *G*.",A,019
019_A,Dit,992.034,992.2785925925925,992.034,993.685,Dit is de ober.,A,019
019_A,"Ja,",1006.67,1006.9538888888889,1006.67,1008.495,"Ja, die zo uit elkaar, zeg maar, uitsteekt, ja.",A,019
019_A,Oh,1016.571,1016.6520869565218,1016.571,1018.436,"Oh ja, en die leus- neus naar links, ja.",A,019
019_A,"Oké,",1018.972,1019.4258139534884,1018.972,1019.859,"Oké, dat is *D*.",A,019
019_A,Eh,1021.223,1021.6299158878504,1021.223,1023.4,"Eh dit is eh jouw bakfiets, volgens mij.",A,019
019_A,Dat,1023.646,1023.8137777777778,1023.646,1024.401,Dat het volgens mij,A,019
019_A,Volgens,1025.217,1025.44415,1025.217,1026.456,Volgens dat is toch die dat vier,A,019
019_A,"Ja,",1027.141,1027.4877634408604,1027.141,1029.038,"Ja, precies, ha de bakfiets.",A,019
019_A,Ja,1029.108,1029.3588,1029.108,1029.336,Ja,A,019
019_A,Oh,1037.54,1037.6016607142856,1037.54,1038.691,"Oh ja, even kijken.",A,019
019_A,Ehm,1039.104,1039.8591219512195,1039.104,1039.964,Ehm ja.,A,019
019_A,Eh,1040.913,1041.2438387096774,1040.913,1042.195,"Eh die gebouwen links, toch?",A,019
